--- When using SR data, please cite us and provide a link and/or a mention.


 
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Milwaukee Brewers,55,26.9,4.98,162,6227,5510,806,1423,265,18,166,750,164,53,564,1266,.258,.332,.403,.736,104,2222,97,73,26,50,15,1158
Minnesota Twins,57,28.1,4.19,162,6059,5432,678,1295,249,20,191,643,114,34,495,1372,.238,.310,.397,.708,94,2157,105,88,9,34,10,1089
New York Mets,63,28.9,4.73,162,6178,5457,766,1359,262,19,224,746,147,18,563,1325,.249,.326,.427,.753,112,2331,119,87,15,53,28,1142
New York Yankees,52,28.6,5.24,162,6235,5471,849,1371,255,20,274,820,134,38,639,1463,.251,.332,.455,.787,116,2488,104,55,7,54,47,1127
Philadelphia Phillies,47,30.3,4.80,162,6166,5517,778,1426,268,24,212,753,124,30,528,1337,.258,.328,.431,.759,106,2378,95,60,16,42,19,1133
Pittsburgh Pirates,57,29.1,3.60,162,6008,5375,583,1244,245,21,117,561,115,36,530,1422,.231,.305,.350,.655,81,1882,123,54,13,32,19,1127
San Diego Padres,52,29.9,4.33,162,6087,5424,702,1369,254,18,152,663,106,30,510,1161,.252,.321,.390,.711,98,2115,103,58,48,45,18,1127
Seattle Mariners,54,28.7,4.73,162,6200,5502,766,1345,234,9,238,734,161,37,544,1446,.244,.320,.420,.740,111,2311,102,89,24,38,29,1120
San Francisco Giants,53,28.1,4.35,162,6072,5375,705,1261,239,28,173,672,68,24,556,1380,.235,.311,.386,.697,98,2075,103,66,22,52,14,1076
St. Louis Cardinals,44,26.6,4.25,162,6069,5433,689,1331,264,9,148,653,89,27,478,1321,.245,.314,.379,.693,97,2057,115,88,25,40,17,1092
Tampa Bay Rays,56,27.3,4.41,162,6045,5470,714,1374,242,16,182,680,194,48,468,1397,.251,.313,.401,.714,98,2194,109,46,16,43,10,1042
Texas Rangers,54,29.0,4.22,162,6046,5443,684,1275,245,15,175,658,134,33,486,1327,.234,.302,.381,.684,100,2075,92,63,11,40,19,1066
Toronto Blue Jays,58,28.1,4.93,162,6180,5507,798,1461,294,13,191,771,77,25,520,1099,.265,.333,.427,.761,108,2354,133,65,35,45,25,1121
Washington Nationals,51,25.8,4.24,162,5982,5422,687,1313,258,28,161,657,132,48,443,1351,.242,.304,.389,.693,95,2110,103,57,18,40,11,988
League Average,49,27.9,4.45,162,6098,5455,720,1338,258,21,188,691,115,33,513,1355,.245,.315,.404,.719,100,2203,104,64,19,44,19,1090
,1470,27.9,4.45,4860,182926,163664,21614,40138,7745,628,5650,20740,3440,989,15379,40645,.245,.315,.404,.719,100,66089,3122,1928,560,1307,556,32689


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Baseball-Reference.com</a>: <a href="https://www.baseball-reference.com/leagues/majors/2025-standard-batting.shtml?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#teams_standard_batting">View Original Table</a><br>Generated 5/27/2026.
