--- When using SR data, please cite us and provide a link and/or a mention.


 
Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,37,28.5,4.55,58,2158,1930,264,472,108,17,49,253,37,10,177,441,.245,.310,.394,.704,97,761,36,15,15,19,3,366
Athletics,41,26.8,4.27,59,2272,2001,252,495,92,7,63,243,34,11,226,501,.247,.329,.395,.724,97,790,44,23,11,11,12,442
Atlanta Braves,43,29.8,5.27,60,2289,2058,316,534,95,7,84,310,31,14,188,473,.259,.326,.435,.761,117,895,30,23,2,18,5,391
Baltimore Orioles,44,27.1,4.58,60,2270,1997,275,477,98,5,68,270,33,12,234,536,.239,.320,.395,.715,103,789,40,13,9,16,4,412
Boston Red Sox,37,28.3,3.98,58,2196,1959,231,484,102,10,44,221,42,13,179,485,.247,.319,.377,.696,99,738,47,35,9,13,3,415
Chicago Cubs,43,28.8,4.73,60,2360,2039,284,489,89,6,67,261,37,7,266,500,.240,.335,.388,.723,111,791,38,34,4,16,10,488
Chicago White Sox,46,25.9,4.66,59,2235,1944,275,462,76,6,80,260,44,16,216,536,.238,.323,.406,.729,104,790,33,38,18,18,10,401
Cincinnati Reds,40,27.6,4.41,58,2213,1949,256,450,94,6,72,241,43,14,225,539,.231,.314,.396,.710,95,772,30,17,9,12,5,414
Cleveland Guardians,38,27.3,4.08,61,2282,1990,249,461,102,4,56,238,55,15,245,464,.232,.320,.371,.691,96,739,39,20,11,16,8,426
Colorado Rockies,37,26.8,4.18,60,2252,2025,251,497,102,8,54,239,49,17,174,541,.245,.313,.384,.696,87,777,34,30,9,14,1,403
Detroit Tigers,39,26.6,3.72,60,2245,1981,223,454,96,9,51,211,22,10,227,515,.229,.312,.364,.676,89,721,35,19,1,15,1,429
Houston Astros,46,29.0,4.44,61,2306,2048,271,499,95,3,79,260,21,10,200,491,.244,.318,.409,.727,104,837,44,32,9,16,13,417
Kansas City Royals,35,28.0,3.75,59,2198,1945,221,456,99,6,53,214,39,15,198,473,.234,.309,.373,.683,93,726,37,24,6,25,5,408
Los Angeles Angels,43,28.5,4.25,60,2268,1998,255,460,90,4,71,245,30,11,209,569,.230,.314,.386,.700,98,771,44,41,6,13,7,407
Los Angeles Dodgers,39,30.6,5.32,59,2259,1968,314,518,100,6,83,297,26,9,238,457,.263,.345,.447,.792,124,879,51,21,6,24,9,408
Miami Marlins,39,25.7,4.17,60,2238,1985,250,481,98,12,46,238,68,23,198,489,.242,.318,.373,.692,98,741,36,32,4,19,4,409
Milwaukee Brewers,38,28.0,4.79,56,2144,1867,268,451,90,5,40,252,60,20,232,452,.242,.328,.359,.687,94,671,28,13,16,10,12,407
Minnesota Twins,40,28.7,4.58,60,2275,2009,275,472,93,8,64,260,41,18,208,531,.235,.316,.385,.701,95,773,31,37,4,16,3,413
New York Mets,47,28.1,4.05,59,2194,1971,239,450,74,6,57,228,30,16,174,472,.228,.295,.359,.654,86,707,41,18,13,14,5,373
New York Yankees,38,30.1,5.17,59,2242,1951,305,474,99,10,86,291,55,19,260,513,.243,.334,.436,.770,115,851,39,13,1,15,9,388
Philadelphia Phillies,36,30.2,3.90,59,2193,1975,230,442,76,9,72,226,43,7,172,492,.224,.292,.381,.673,85,752,29,26,2,17,3,392
Pittsburgh Pirates,37,28.2,5.02,60,2361,2076,301,526,84,6,68,288,57,8,234,555,.253,.335,.398,.733,105,826,52,30,4,15,7,460
San Diego Padres,34,30.1,3.91,58,2112,1883,227,411,79,7,60,220,55,17,190,490,.218,.293,.363,.657,86,684,35,17,5,16,6,354
Seattle Mariners,38,28.7,4.25,60,2270,1994,255,468,83,6,76,249,45,16,214,525,.235,.319,.397,.715,106,791,31,40,4,17,4,424
San Francisco Giants,41,28.3,3.93,59,2197,2031,232,515,121,13,53,225,15,6,126,456,.254,.301,.404,.705,103,821,38,18,6,16,9,391
St. Louis Cardinals,35,25.5,4.33,57,2172,1908,247,455,78,4,63,240,36,14,190,455,.238,.317,.383,.700,102,730,48,40,13,20,10,403
Tampa Bay Rays,38,27.9,4.68,56,2156,1892,262,491,79,11,48,248,54,24,206,403,.260,.337,.389,.726,103,736,42,22,19,16,8,414
Texas Rangers,34,29.8,4.02,59,2203,1944,237,457,88,9,60,226,27,7,207,505,.235,.316,.382,.698,106,743,47,30,7,14,5,414
Toronto Blue Jays,43,29.0,4.07,60,2240,2012,244,491,99,3,56,233,25,6,174,429,.244,.310,.380,.690,90,764,43,26,10,16,8,407
Washington Nationals,37,25.0,5.40,60,2337,2063,324,508,113,8,77,306,58,16,218,497,.246,.325,.421,.746,112,868,35,30,10,14,10,401
League Average,39,28.1,4.42,59,2238,1980,261,477,93,7,63,250,40,13,207,493,.241,.318,.391,.710,100,774,39,26,8,16,7,409
,1160,28.1,4.42,1774,67137,59393,7833,14300,2792,221,1900,7493,1212,401,6205,14785,.241,.318,.391,.710,100,23234,1157,777,243,481,199,12277


Provided by <a href="https://www.sports-reference.com/sharing.html?utm_source=direct&utm_medium=Share&utm_campaign=ShareTool">Baseball-Reference.com</a>: <a href="https://www.baseball-reference.com/leagues/majors/2026-standard-batting.shtml?sr&utm_source=direct&utm_medium=Share&utm_campaign=ShareTool#teams_standard_batting">View Original Table</a><br>Generated 6/1/2026.
